title,latitude,longitude,description
BOOZE-CLUB-Philadelphia,26.0937112,-80.1246643,"Port Everglades, Ft. Lauderdale, FL"
Phillie-Ladies-20s-30s-Social-Group,39.9059929,-75.1666401,"1 Citizens Bank Way, Philadelphia, PA"
Phillie-Ladies-20s-30s-Social-Group,39.9673847,-75.1411703,"1040 N. American St. Suite 1001, Philadelphia, PA"
Phillie-Ladies-20s-30s-Social-Group,42.3303505,20.772479,"near 25th & Locust, Philadelphia, PA"
Wild-Foodies-of-Philly,39.943108,-75.153977,"706 Lombard St, Philadelphia, PA"
Wild-Foodies-of-Philly,40.4334005,-75.0980008,"5941-5987 State Park Road, Pipersville, PA"
Wild-Foodies-of-Philly,40.0165686,-75.1076668,"I and Ramona Streets, Philadelphia, PA"
Wild-Foodies-of-Philly,40.1439419,-75.0837569,"2955 Edge Hill Rd, Huntingdon Valley, PA"
bookclub-577,39.9547511,-75.1663793,"16th and Arch Sts., Philadelphia, PA"
bookclub-577,39.9547511,-75.1663793,"16th and Arch Sts., Philadelphia, PA"
YIPhilly,39.9529308,-75.1596503,"12th and filbert, Philadelphia, PA"
Philadelphia-Startup-Idea-to-IPOd,39.9525839,-75.1652215,"ON YOUR COMPUTER, Philadelphia, PA"
hispanofili,40.0529533,-75.1861257,"6734 Germantown Ave, Philadelphia, PA"
hispanofili,39.9525839,-75.1652215,"235 S 15th St 15th and Locust), Philadelphia, PA"
hispanofili,39.9525839,-75.1652215,"235 S 15th St 15th and Locust), Philadelphia, PA"
hispanofili,39.972311,-75.1386973,"1361 N 2nd St Philadelphia, PA 19122, Philadelphia, PA"
PhillyPhoodies,40.096547,-75.4156639,"1160 1st Avenue, King of Prussia, PA"
Philadelphia-Music-and-Art-Lovers-Connection,39.9467246,-75.1652166,"300 South Broad Street, Philadelphia, PA"
Philadelphia-Music-and-Art-Lovers-Connection,40.0911011,-75.3888741,"260 Mall Boulevard, King of Prussia, PA"
Philadelphia-Music-and-Art-Lovers-Connection,40.3585433,-74.9756679,"6426 Lower York Road, Rte. 202), New Hope, PA"
Fun-Global-Adventures,38.9177309,1.4446226,"Av. 8 d'Agost, Ibiza"
Fun-Global-Adventures,18.4456571,-64.7506927,"Belle Vue, Jost van Dyke"
Fun-Global-Adventures,29.959472,-90.0648943,"Bourbon St, New Orleans, LA"
PhillyNetwork,39.9701888,-75.1356145,"1253 N Front St, Philadelphia, PA"
PhillyNetwork,39.9701888,-75.1356145,"1253 N Front St, Philadelphia, PA"
PhillyNetwork,39.9260533,-75.1430988,"1651 S Christopher Columbus Blvd, Philadelphia, PA"
PhillyNetwork,39.9525839,-75.1652215,"1500 Chestnut Street Lower Level, Philadelphia, PA"
PhillyNetwork,39.9217558,-75.1425278,"1936 South Christopher Columbus Boulevard, Philadelphia, PA"
Philadelphia-Young-Professionals-Networking,39.9701888,-75.1356145,"1253 North Front Street, Philadelphia, PA"
Philadelphia-Young-Professionals-Networking,39.9701888,-75.1356145,"1253 North Front Street, Philadelphia, PA"
Philadelphia-Young-Professionals-Networking,39.9260533,-75.1430988,"1651 S Christopher Columbus Blvd, Philadelphia, PA"
Philadelphia-Young-Professionals-Networking,39.9260533,-75.1430988,"1651 S Christopher Columbus Blvd, Philadelphia, PA"
Philadelphia-Young-Professionals-Networking,39.9525839,-75.1652215,"1500 Chestnut Street Lower Level, Philadelphia, PA"
phillyfrench,39.9444664,-75.1578735,"928 Pine Street, Philadelphia, PA"
phillyfrench,39.9444664,-75.1578735,"928 Pine Street, Philadelphia, PA"
Code-for-Philly,39.952616,-75.159445,"1150 Filbert St, Philadelphia, PA"
Code-for-Philly,39.961578,-75.1544525,"990 Spring Garden Street, Philadelphia, PA"
Code-for-Philly,39.9653813,-75.1425709,"908A N 3rd St, Philadelphia, PA"
Code-for-Philly,39.9653813,-75.1425709,"908A N 3rd St, Philadelphia, PA"
Code-for-Philly,39.9653813,-75.1425709,"908A N 3rd St, Philadelphia, PA"
writers-362,39.9539163,-75.1462546,"151 N 4th St, Philadelphia, PA"
Philadelphia-TechBreakfast,39.7490337,-75.5462122,"1313 N. Market St., Wilmington, DE"
Philadelphia-TechBreakfast,39.7411257,-75.5502534,"500 N. Market Street , Wilmington, DE"
The-Erotic-Literary-Salon,39.9500371,-75.1625129,"1315 Sansom Street, Philadelphia, PA"
philly-valley-to-summit,40.0587873,-76.5347467,"399 Furnace Rd, Marietta, PA 17547, Marietta, PA"
philly-valley-to-summit,34.7373647,-80.3930369,"Tory Road & Cafferty Road, Tinicum, PA"
philly-valley-to-summit,40.0587873,-76.5347467,"399 Furnace Rd, Marietta, PA 17547, Marietta, PA"
The-Lock-and-Key-Philadelphia-Area-Singles-Meetup-Group,39.961802,-75.145875,"414 Green St, Philadelphia, PA"
The-Lock-and-Key-Philadelphia-Area-Singles-Meetup-Group,39.961802,-75.145875,"414 Green St, Philadelphia, PA"
phillyhikes,41.9162667,-89.0619706,"Rochelle Avenue & Sumac Street, Philadelphia, PA"
phillyhikes,48.4135605,-98.6724494,"69th St & Market St, Philadelphia, PA"
phillyhikes,48.4135605,-98.6724494,"69th St & Market St, Philadelphia, PA"
phillyhikes,39.9906281,-75.2876198,"Karakung Drive near Beechwood Road, Havertown, PA"
phillyhikes,39.9863365,-75.2895085,"Karakung Dr & Beechwood Dr, Haverford, PA"
expat-148,39.9485577,-75.1443304,"207 Chestnut Street, Philadelphia, Pe"
expat-148,40.0529533,-75.1861257,"6734 Germantown Ave, Philadelphia, PA"
expat-148,39.9537058,-75.1565271,"1003 Arch Street, Philadelphia, PA"
expat-148,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
expat-148,39.9511992,-75.1706583,"116 S. 18th St., Philadelphia, PA"
randominphilly,39.9678851,-75.1274849,"1341 N Delaware Ave, Philadelphia, PA"
randominphilly,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
randominphilly,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
randominphilly,39.9512956,-75.1746805,"2030 Sansom St, Philadelphia, PA"
randominphilly,39.9614103,-75.1991112,"3850 Lancaster Ave., Philadelphia, PA"
phillypug,39.9507535,-75.1607223,"1211 Chestnut Street Suite 400, Philadelphia, PA"
phillypug,39.9529683,-75.1982049,"3730 Walnut St., Philadelphia, PA"
phillypug,39.9507535,-75.1607223,"1211 Chestnut Street Suite 400, Philadelphia, PA"
gpreia,40.1154069,-75.283556,"500 W Germantown Pike, Plymouth Meeting, PA"
gpreia,40.0068973,-75.210552,"4010 City Avenue, Philadelphia, PA"
gpreia,40.1154069,-75.283556,"500 W Germantown Pike, Plymouth Meeting, PA"
gpreia,40.0068973,-75.210552,"4010 City Avenue, Philadelphia, PA"
gpreia,40.0068973,-75.210552,"4010 City Avenue, Philadelphia, PA"
singlesevents,39.9493463,-75.1423488,"10 S Front St, Philadelphia, PA"
PhiladelphiaBlackEntrepreneursNetwork,39.9536328,-75.1695319,"1735 Market St Fl 52, Philadelphia, PA"
philadelphia-volunteer-meetup-group,39.9604342,-75.1744497,"Benjamin Franklin Pkwy, Philadelphia, Pe"
philadelphia-volunteer-meetup-group,39.9701932,-75.1429246,"341 west Girard ave 1st floor, Philadelphia, PA"
philadelphia-volunteer-meetup-group,39.9631287,-75.1443465,"713 Fourth St, Phila, PA"
Crazee-Monkee-Hikers,41.0081135,-76.447287,"400 East 2nd Street , Bloomsburg, PA"
Crazee-Monkee-Hikers,40.0580297,-75.2127002,"Valley Green Road, Philadelphia , PA"
internationals-friendship-group,39.9485577,-75.1443304,"207 Chestnut St, Philadelphia, PA"
internationals-friendship-group,40.0529533,-75.1861257,"6734 Germantown Ave, Philadelphia, PA"
internationals-friendship-group,39.9537058,-75.1565271,"1003 Arch Street, Philadelphia, PA"
internationals-friendship-group,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
internationals-friendship-group,39.9511992,-75.1706583,"116 S. 18th St. , Philadelphia, PA"
ThePBNC,39.9798258,-75.1585587,"1776 N Broad St, Philadelphia, PA"
ThePBNC,39.9578306,-75.1377109,"417 N Columbus Blvd, Philadelphia, PA"
Second-Saturday-Game-Night-Circle,39.9369613,-75.1666084,"1125 South Broad Street, Philadelphia, PA"
Reelblack,39.9362906,-75.0280577,"2121 New Jersey 38, Cherry Hill, NJ"
newbeginningsholistictherapies,39.9774593,-75.124602,"2424 E. York Street, Philadelphia, PA"
newbeginningsholistictherapies,39.9774593,-75.124602,"2424 East York Street #108, Philadelphia, PA"
newbeginningsholistictherapies,39.9774593,-75.124602,"2424 East York Street #108, Philadelphia, PA"
newbeginningsholistictherapies,39.9774593,-75.124602,"2424 East York Street #108, Philadelphia, PA"
Philly-Night-and-Day,39.948818,-75.1456539,"239 Chestnut St, Philadelphia, PA"
Philly-Night-and-Day,39.948818,-75.1456539,"239 Chestnut St, Philadelphia, PA"
Philly-Night-and-Day,39.9484815,-75.1572037,"929 Walnut St, , Philadelphia, PA"
Philly-Night-and-Day,39.9480635,-75.1433055,"120 Chestnut St, Philadelphia, PA"
AATofPA,39.9536328,-75.1695319,"1735 Market St , Philadelphia, PA"
AATofPA,39.9493725,-75.144085,"24 South 2nd Street , Philadelphia, PA"
AATofPA,39.9526702,-75.1691064,"1700 Market St Suite 1005 , Philadelphia, PA"
Philadelphia-Singles-Ages-30-40s,39.9493725,-75.144085,"24 South 2nd Street , Philadelphia, PA"
Batona-Hiking-Club,40.0774283,-75.2091618,"8755 Germantown Avenue, Philadelphia, PA"
Batona-Hiking-Club,39.9150986,-75.3519958,"1250 Baltimore Pike, Springfield, PA"
Indie-Movies-and-Music,39.961406,-75.155349,"1026 Spring Garden Street, Philadelphia, PA"
Indie-Movies-and-Music,39.9590346,-75.1587131,"1200 Callowhill St, Philadelphia, PA"
Indie-Movies-and-Music,39.9537058,-75.1565271,"1003 Arch Street, Philadelphia, PA"
Social-Bowling-and-Happy-Hours-in-Philly,39.9506439,-75.1633942,"1336 Chestnut St, Philadelphia, PA"
netzwerkphiladelphia,40.3186792,-75.1308934,"380 N Main St, Doylestown, PA"
netzwerkphiladelphia,40.0697908,-75.4443434,"324 W. Swedesford Rd, Berwyn, PA"
netzwerkphiladelphia,39.9595649,-75.6068351,"124 W Gay St, West Chester, PA"
netzwerkphiladelphia,39.9420667,-75.1545876,"718 South Street, Philadelphia, PA"
netzwerkphiladelphia,41.2029227,-90.5130848,"17th Street & John F. Kennedy Blvd, Philadelphia, PA"
Photogs-In-Philly,40.088858,-75.072112,"8500 Pine Rd, Philadelphia, PA"
Photogs-In-Philly,39.9833075,-75.1140004,"2840 Chatham St, Philadelphia , PA"
Photogs-In-Philly,39.9793705,-75.1317727,"Trenton and Norris, Philadelphia, PA"
Photogs-In-Philly,40.0481285,-75.0614917,"2228 Cottman Ave., Philadelphia, PA"
Photogs-In-Philly,39.5322076,-74.2624867,"5516 S Bay Ave , Long Beach Township, NJ"
Philadelphia-JavaScript-Developers,40.0746947,-75.3051479,"201 Fayette Street, Conshohocken, PA"
Philly-Loves-Boardgames,39.9562833,-75.1769956,"2215 Arch Street, Philadelphia, PA"
Philly-Loves-Boardgames,39.9481009,-75.2200765,"4812 Baltimore Ave, Philadelphia, PA"
Philly-Loves-Boardgames,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
Philly-Loves-Boardgames,39.9614103,-75.1991112,"3850 Lancaster Avenue, Philadelphia, PA"
Philly-Loves-Boardgames,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
DevMeetUpNortheast,39.961578,-75.1544525,"990 Spring Garden Street, Philadelphia, PA"
DevMeetUpNortheast,39.9502685,-75.1669508,"1528 Sansom Street, Philadelphia, PA"
DevMeetUpNortheast,42.3851075,-72.5252819,"300 Massachusetts Ave, Amherst, MA"
DevMeetUpNortheast,42.3766674,-72.5195813,"63 N Pleasant Street, Amherst, MA"
DevMeetUpNortheast,38.9048636,-77.0339963,"1133 15th Street NW, Washington, DC"
atheists-215,39.9637414,-75.1754268,"Penn's Landing, Philadelphia, PA, Philadelphia, Pe"
atheists-215,39.9596055,-75.1710236,"1901 Vine St., Philadelphia, PA"
atheists-215,39.8299062,-75.130679,"525 New Jersey Avenue NW, Washington, PA"
SciFiPhilly,39.826024,-75.0983602,"The Court at Deptford II, 1553 Almonesson Road, Deptford, NJ"
Philly-Freeriders,39.9296204,-74.0802223,"Seaside Heights area, Ocean County, NJ"
Philadelphia-Zen-Meditation-Meetup,39.9488304,-75.2135923,"4522 Baltimore Avenue, Philadelphia, PA"
phillyjunto,39.9673492,-75.1404339,"1040 North 2nd Street, Suite 301, Philadelphia, PA"
The-Philadelphia-Glamour-Photography-Group,39.9978394,-75.3713907,"1 Langdale Rd, Newtown Square, PA"
The-Philadelphia-Glamour-Photography-Group,39.9479919,-75.4460513,"1023 Sycamore Mills Rd. , Media, PA"
Wine-Code,39.9502071,-75.1691803,"1701 Walnut Street 8th Floor, Philadelphia, PA"
ntesla-38,39.9829402,-75.166766,"North 20th Street, , Philadelphia, PA"
ntesla-38,39.9546645,-75.1945096,"Chestnut St, Philadelphia, PA"
ntesla-38,39.9546645,-75.1945096,"Chestnut St, Philadelphia, PA"
ntesla-38,40.2427492,-75.5851393,"2488 Sanatoga Road, Pottstown, Pennsylvania, Pottstown , PA"
Philadelphia-Rock-Concert-Meetup-Group,39.9497207,-75.1698467,"1712 Walnut St, Philadelphia, PA"
Philadelphia-Rock-Concert-Meetup-Group,40.0177386,-75.0004321,"1 Harbour Blvd , Camden, NJ"
Philadelphia-Rock-Concert-Meetup-Group,39.9608513,-75.2583095,"19 S 69th St, Upper Darby, PA"
Philadelphia-Rock-Concert-Meetup-Group,39.1890408,-75.5332932,"1131 N Dupont Hwy, Dover, DE"
Philadelphia-Rock-Concert-Meetup-Group,40.0280623,-75.1100228,"Lincoln Hwy, Philadelphia, PA"
friends-715,39.948818,-75.1456539,"239 Chestnut St, Philadelphia, PA"
friends-715,39.948818,-75.1456539,"239 Chestnut St, Philadelphia, PA"
friends-715,39.9480635,-75.1433055,"120 Chestnut St, Philadelphia, PA"
Software-as-Craft-Philadelphia,39.9507535,-75.1607223,"1211 Chestnut Street Suite 400, Philadelphia, PA"
The-Adult-Mix,39.9518832,-75.1738715,"2006 Chestnut St, Philadelphia, PA"
Philadelphia-Dungeons-and-Dragons,39.9043382,-75.3081164,"2612 Grand Ave., Holmes, PA"
The-Philadelphia-Science-Society,39.9495567,-75.146008,"22 South 3rd Street, Philadelphia, PA"
The-Philadelphia-Science-Society,39.9805914,-75.162908,"1700 West Montgomery Avenue, Philadelphia, PA"
GeoPhilly,39.981219,-75.1534766,"N 12th Street and Polett Walk, Philadelphia, PA"
phillyESL,39.9481797,-75.1660502,"235 S 15th St Ste 1, Philadelphia, PA"
Philadelphia-Travel-Photography,44.3820235,-68.2650154,"20 McFarland Hill Drive , Bar Harbor, ME"
adventurousfoodies,39.9480635,-75.1433055,"120 Chestnut St, Philadelphia, PA"
adventurousfoodies,39.9535726,-75.1932774,"3432 Sansom Street, Philadelphia, PA"
adventurousfoodies,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
Art-Changes-Lives,40.0411773,-75.1181526,"6001 A. Street , Philadelphia, PA"
Art-Changes-Lives,40.0767105,-75.0819215,"501 Rhawn St, Philadelphia, PA"
Art-Changes-Lives,39.957253,-75.1700704,"Benjamin Franklin Pkwy, 19103, PA"
Art-Changes-Lives,40.0411773,-75.1181526,"6001 A. Street , Philadelphia, PA"
Philadelphia-Bulldog-Meetup,39.9469321,-75.1840373,"2800 Lombard St, Philadelphia, PA"
PhillyEdTechMeetup,39.9561749,-75.1917294,"3401 Market Street, Suite 200, Philadelphia, PA"
nodejs-philly,39.9495912,-75.1628901,"1315 Walnut St , Suite 1500, Philadelphia, PA"
chinese-282,39.9551908,-75.156773,"1020 Race St, Philadelphia, PA"
phillyjs,40.13385,-75.514318,"148 Bridge St, Phoenixville, PA"
PhillyDevOps,39.9545639,-75.1684674,"1701 John F Kennedy Boulevard, Philadelphia, PA"
PhillyDevOps,39.9545639,-75.1684674,"1701 John F Kennedy Boulevard, Philadelphia, PA"
tango-81,39.9793777,-75.1300199,"2030 Frankford Ave, Philadelphia, PA"
tango-81,39.9793777,-75.1300199,"2030 Frankford Ave, Philadelphia, PA"
tango-81,39.9793777,-75.1300199,"2030 Frankford Ave, Philadelphia, PA"
OneTaste-Philadelphia,39.9419226,-75.1573684,"620 S 9th St, Philadelphia, PA"
OneTaste-Philadelphia,39.9525839,-75.1652215,"from your phone, Philadelphia, PA"
PhillyCocoaHeads,39.950812,-75.1456074,"20 North 3rd St, Unit 201, Philadelphia, PA"
PhillyCocoaHeads,39.9499263,-75.1679127,"1607 Walnut Street, Philadelphia, PA"
Field-of-Awakening,40.0535156,-75.3258794,"770 Mount Moro Rd, Villanova, PA"
Field-of-Awakening,39.7429289,-75.717392,"579 Upper Pike Creek Rd, Newark, DE"
Field-of-Awakening,40.0365364,-75.5672366,"519 Lancaster Ave, Malvern, PA"
Field-of-Awakening,40.0365364,-75.5672366,"519 Lancaster Ave, Malvern, PA"
Field-of-Awakening,39.9508343,-75.1658994,"1500 Chestnut Street, Philadelphia, PA"
PhiladelphiaMasterMindGroup,39.9701888,-75.1356145,"1253 N Front St, Philadelphia, PA"
PhiladelphiaMasterMindGroup,39.9701888,-75.1356145,"1253 N Front St, Philadelphia, PA"
PhiladelphiaMasterMindGroup,39.9260533,-75.1430988,"1651 S Christopher Columbus Boulevard, Philadelphia, PA"
PhiladelphiaMasterMindGroup,39.9508343,-75.1658994,"1500 Chestnut Street, Philadelphia, PA"
PhiladelphiaMasterMindGroup,39.9217558,-75.1425278,"1936 South Christopher Columbus Boulevard, Philadelphia, PA"
Creative-Healing-Arts-at-Space-2033,39.9791839,-75.129571,"2033 Frankford Ave, Philadelphia, PA"
Creative-Healing-Arts-at-Space-2033,39.9791839,-75.129571,"2033 Frankford Ave, Philadelphia, PA"
Creative-Healing-Arts-at-Space-2033,39.9791839,-75.129571,"2033 Frankford Ave, Philadelphia, PA"
Culture-Language-Exchange,39.9511992,-75.1706583,"116 S. 18th St. , Philadelphia, PA"
Free-Afternoon-English-Classes-in-Philadelphia,39.9558056,-75.1945841,"3600 Market Street, Philadelphia, PA"
Healthy-Happy-And-Fit-For-Life-Philadelphia,40.0202857,-75.215555,"3901B Main St, 2nd Fl, Philadelphia, PA"
Philly-Content-Strategy,39.9554088,-75.1690352,"1717 Arch St, Philadelphia, PA"
The-Philadelphia-Vegetarian-Social-Club,39.9537842,-75.2037105,"4014 Walnut Street, Philadelphia, PA"
seo-philly,39.9493463,-75.1423488,"10 South Front Street, Philadelphia, PA"
meetup-group-vYbGbBWS,39.9521955,-75.1851094,"3025 Walnut Street, Philadelphia, PA"
meetup-group-vYbGbBWS,39.994488,-75.2180614,"Belmont and Parkside Avenues , Philadelphia, PA"
PhillyASLMeetup,39.941756,-75.148992,"347 South Street, Philadelphia, PA"
PhillyASLMeetup,39.941756,-75.148992,"347 South Street, Philadelphia, PA"
PhillyASLMeetup,39.9425249,-75.1572635,"600 S 9th St, Philadelphia, PA 19147, Philadelphia, PA"
PhillyASLMeetup,39.941756,-75.148992,"347 South Street, Philadelphia, PA"
PhillyASLMeetup,40.0481285,-75.0614917,"2228 Cottman Avenue , Philadelphia, PA"
Philadelphia-Bootstrappers-Breakfast-Group,39.9522153,-75.1695282,"30 S 17th St, Philadelphia, PA"
Philadelphia-Bootstrappers-Breakfast-Group,39.9522153,-75.1695282,"30 S 17th St, Philadelphia, PA"
phillyphp,39.9653813,-75.1425709,"908A N. 3rd Street, Philadelphia, PA"
phillyphp,39.9653813,-75.1425709,"908A N. 3rd Street, Philadelphia, PA"
PhillyAnime,39.9468861,-75.1455597,"214 Walnut Street, Philadelphia, PA"
PhillyAnime,40.0083227,-75.2913337,"5 E Lancaster Avenue, Ardmore, PA"
PhillyAnime,39.941489,-75.1761454,"2001 Christian St, Philadelphia, PA"
PhillyAnime,39.9653813,-75.1425709,"908A N 3rd St, Philadelphia, PA"
PhillyAnime,39.9420189,-75.1534801,"638 South Street, Philadelphia, PA"
iImproved,39.9535741,-75.1703915,"1801 Market Street, Philadelphia, PA"
italian-philadelphia,39.950201,-75.142285,"14 North Front St, Philadelphia, PA"
N3rd-Street-Gamers-Philadelphia-PA,39.9653813,-75.1425709,"908 North 3rd Street, Philadelphia, PA"
N3rd-Street-Gamers-Philadelphia-PA,39.9653813,-75.1425709,"908A N 3rd St, Philadelphia, PA"
N3rd-Street-Gamers-Philadelphia-PA,39.9653813,-75.1425709,"908 North 3rd Street, Philadelphia, PA"
N3rd-Street-Gamers-Philadelphia-PA,39.9653813,-75.1425709,"908 North 3rd Street, Philadelphia, PA"
Rough-Cuts-Community-for-Visual-Storytellers,39.9777806,-75.143701,"1730 N 5th St - Apt 203, Philadelphia, PA"
Philly-Makers,39.9396252,-75.1773305,"2025 Washington Avenue, Philadelphia, PA"
Philadelphia-Socia-Club,39.9502071,-75.1691803,"1701 Walnut Street 8th Floor), Philadelphia, PA"
Philadelphia-Knitting-Meetup,39.9483428,-75.2177204,"4722 Baltimore Ave, Philadelphia, PA"
Philadelphia-Knitting-Meetup,39.962067,-75.1429346,"631 N 3rd St, Philadelphia, PA"
Philadelphia-Knitting-Meetup,39.9516498,-75.1682121,"1625 Chestnut Street, Philadelphia, PA"
Philadelphia-Knitting-Meetup,39.9170911,-75.141859,"2206 S Columbus Blvd, Philadelphia, PA"
